ID,School_Number,School_Name,Suburb,Post_Code,Type_of_Schooling,Index_of_Educational_Disadvantage,Latitude,Longitude
54,637,Brighton Primary School,Brighton,5048,Primary Education,6,-35.015974,138.526228
55,803,Brighton Secondary School,North Brighton,5048,Secondary Education,6,-35.003619,138.519676
56,752,Brinkworth Primary School,Brinkworth,5464,Primary Education,4,-33.687102,138.404569
57,646,Brompton Primary School,Renown Park,5008,Primary Education,3,-34.894564,138.581612
58,699,Burnside Primary School,Burnside,5066,Primary Education,7,-34.935601,138.661574
59,1432,Burra Community School,Burra,5417,Primary/Secondary Combined,5,-33.677412,138.938652
60,1844,Burton Primary School,Burton,5110,Primary Education,4,-34.741477,138.597764
61,702,Bute Early Learning & Primary School,Bute,5560,Primary Education,4,-33.864926,138.003827
62,704,Cadell Primary School,Cadell,5321,Primary Education,2,-34.05642,139.771652
63,705,Callington Primary School,Callington,5254,Primary Education,5,-35.11362,139.039395
64,747,Cambrai Primary School,Cambrai,5353,Primary Education,3,-34.652888,139.280966
65,981,Carlton School,Port Augusta,5700,Aboriginal/Anangu Schools,1,-32.487975,137.776238
66,734,Ceduna Area School,Ceduna,5690,Primary/Secondary Combined,3,-32.137676,133.671396
67,761,Central Yorke School,Maitland,5573,Primary/Secondary Combined,2,-34.368261,137.673481
68,714,Challa Gardens Primary School,Kilkenny,5009,Primary Education,2,-34.877562,138.555082
69,1028,Charles Campbell College,Paradise,5075,Primary/Secondary Combined,5,-34.87403,138.674133
70,1019,Christie Downs Primary School,Christie Downs,5164,Primary Education,2,-35.13242,138.494017
71,1013,Christies Beach HS & Sth Voc College,Christie Downs,5164,Secondary Education,2,-35.136982,138.497694
72,921,Christies Beach Primary School,Christies Beach,5165,Primary Education,2,-35.138009,138.479076
73,952,Clapham Primary School,Clapham,5062,Primary Education,6,-34.993358,138.603502
74,773,Clare High School,Clare,5453,Primary/Secondary Combined,5,-33.822384,138.596522
75,719,Clare Primary School,Clare,5453,Primary Education,5,-33.840746,138.618052
76,720,Clarendon Primary School,Clarendon,5157,Primary Education,7,-35.110275,138.632175
77,753,Cleve Area School,Cleve,5640,Primary/Secondary Combined,6,-33.699647,136.497429
78,932,Clovelly Park Primary School,Clovelly Park,5042,Primary Education,3,-34.998429,138.565416
79,721,Cobdogla Primary School,Cobdogla,5346,Primary Education,4,-34.242439,140.406113
80,723,Colonel Light Gardens Primary School,Colonel Light Gardens,5041,Primary Education,7,-34.986809,138.59544
81,724,Compton Primary School,Suttontown,5291,Primary Education,5,-37.801357,140.728606
82,920,Coober Pedy Area School,Coober Pedy,5723,Primary/Secondary Combined,2,-29.012416,134.752049
83,729,Coomandook Area School,Coomandook,5261,Primary/Secondary Combined,5,-35.47536,139.70583
84,730,Coonalpyn Primary School,Coonalpyn,5265,Primary Education,5,-35.698735,139.852091
85,323,Coorara Primary School,Morphett Vale,5162,Primary Education,3,-35.131326,138.542009
86,104,Coromandel Valley Primary School,Coromandel Valley,5051,Primary Education,7,-35.033562,138.626758
87,106,Cowandilla Primary School,Cowandilla,5033,Primary Education,4,-34.93416,138.559877
88,735,Cowell Area School,Cowell,5602,Primary/Secondary Combined,5,-33.683646,136.918203
89,107,Crafers Primary School,Crafers,5152,Primary Education,7,-34.993387,138.71348
90,1226,Craigburn Primary School,Flagstaff Hill,5159,Primary Education,7,-35.056187,138.615495
91,976,Craigmore High School,Blakeview,5114,Secondary Education,2,-34.69116,138.701176
92,1449,Craigmore South Primary School,Craigmore,5114,Primary Education,2,-34.70978,138.706148
93,111,Crystal Brook Primary School,Crystal Brook,5523,Primary Education,5,-33.352948,138.213543
94,754,Cummins Area School,Cummins,5631,Primary/Secondary Combined,7,-34.263356,135.72233
95,114,Curramulka Primary School,Curramulka,5580,Primary Education,5,-34.696257,137.713037
96,666,Darlington Primary School,Seacombe Gardens,5047,Primary Education,2,-35.027204,138.546916
97,982,Dernancourt School R-7,Dernancourt,5075,Primary Education,5,-34.861164,138.673148
98,1036,East Adelaide School,St Peters,5069,Primary Education,7,-34.90564,138.627346
99,1043,East Marden Primary School,Campbelltown,5074,Primary Education,6,-34.881964,138.65353
100,1134,East Para Primary School,Para Hills,5096,Primary Education,5,-34.81765,138.666078
101,971,East Torrens Primary School,Hectorville,5073,Primary Education,3,-34.889946,138.666334
102,1884,Eastern Fleurieu R-12 School,Strathalbyn,5255,Primary/Secondary Combined,6,-35.258107,138.902172
103,123,Echunga Primary School,Echunga,5153,Primary Education,7,-35.097706,138.79085
104,124,Eden Hills Primary School,Eden Hills,5050,Primary Education,7,-35.020546,138.595317
